"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"DG 32:0","0.14922","0.4456","-0.00436","0.25527","-0.04576","0.29226","0.04139","0.14301","0.13988","0.72016","-0.29243","0.30535","-0.3098","-0.27572","-0.26425","0.20683","0.30535","0.64246","0.0607","-0.08092","-0.0655","0.11727","0.6637","0.20683","-0.13668","0.37658","0.64444","-0.00436","0.04922","0.21484","-0.35655","0.17898","-0.14267","0.26717","-0.03621","-0.5941","0.14613","0.36173","0.38917","0.28103","-0.39167","-0.21467"
"DG 32:1","0.23805","0.61278","-0.07572","0.22272","-0.87771","0.3032","-0.09691","0.02119","0.06819","0.44248","-0.3279","0.26482","-0.7138","-0.25181","-0.44292","-0.04576","0.17609","0.05308","0.12057","-0.10791","-0.11919","0.07918","0.4456","0.08636","0.01284","0.31387","0.43297","-0.01323","-0.14267","0.02938","-0.26761","0.0569","-0.18709","0.27646","-0.20761","-0.78966","-0.02228","0.21748","0.30963","0.22272","-0.78212","-0.79964"
"DG 34:1","0.70927","0.94596","0.60746","0.91908","0.61066","0.82866","0.74036","0.61172","0.87564","0.82995","0.5302","0.89542","0.47276","0.55991","0.53403","0.75967","0.79865","0.80754","0.4843","0.79518","0.50106","0.67117","1.05308","0.70501","0.7574","0.82672","0.97405","0.41497","0.66464","0.8109","0.35025","0.88986","0.64147","0.87967","0.67578","0.12057","0.7348","0.85248","1.02979","0.99432","0.29226","0.5563"
"DG 36:3","-0.03621","0.16435","0.33244","0.52244","0.13672","0.21748","0.35025","0.01284","0.12385","0.43457","0.06819","0.35603","0.0086","0.02531","-0.06048","0.23805","0.21219","0.31597","-0.00436","0.55509","-0.18046","0.21484","0.70927","0.20683","0.07918","0.12385","0.40993","-0.16749","0.45637","0.43933","0.07188","0.34635","0.03743","0.35603","0.20412","-0.11919","0.35411","0.37658","0.69984","0.20952","-0.12494","0.17026"
"DG 34:2","-0.03152","0.22011","0.04922","0.18184","-0.20066","0.12385","0.09691","-0.01773","-0.01323","0.19866","-0.13077","0.1959","-0.37675","-0.25181","-0.16912","-0.05552","0.01703","0.04922","-0.3279","0.13988","-0.73182","-0.10237","0.23553","0.07188","-0.07572","-0.08092","0.2014","-0.31876","-0.01773","0.11394","-0.36653","0.13033","-1.01389","0.24551","-0.09151","-0.57035","0.12057","0.18469","0.29667","0.17898","-0.37349","-0.33775"
"DG 36:1","-0.63827","-0.82824","-0.74473","-0.42022","-0.33248","-0.58503","-0.49485","-0.67778","-0.45593","-0.5376","-0.65758","-0.3279","-0.45411","-1.09691","-0.9663","-0.38722","-0.58503","-0.39794","-0.92082","-0.50864","-1.10232","-0.72125","-0.46852","-0.5376","-0.31857","-0.46852","-0.18709","-0.64587","-0.40894","-0.50864","-0.74473","-0.52288","-0.52018","-0.49485","-0.74473","-0.50378","-0.52288","-0.24413","-0.27572","-0.43211","-0.73243","-0.84136"
"DG 36:2","0.61172","0.69984","0.57519","0.83378","0.52634","0.57287","0.81954","0.57864","0.58206","0.3784","0.34242","0.6721","0.36361","0.45637","0.49969","0.67117","0.5977","0.63347","0.42651","0.68034","0.26717","0.57634","0.93247","0.66558","0.55145","0.52504","0.91116","-0.10237","0.46982","0.75205","0.22531","0.79796","0.5563","0.6721","0.55267","0.13354","0.67943","0.74036","0.90146","0.70329","0.35793","0.39445"
"CAR 18:1","-0.54532","-0.4978","-0.72281","-0.73565","-0.49987","-0.54496","-0.67765","-0.77128","-0.88606","-0.4418","-0.74064","-0.85387","-0.60295","-0.91666","-0.78693","-0.5376","-0.43181","-0.57792","-0.85387","-0.95861","-0.79588","-0.88606","-0.58503","-0.86484","-0.39794","-0.93634","-0.4558","-0.58321","-0.39794","-0.69897","-0.66799","-0.80964","-0.88606","-0.70826","-0.56864","-1","-0.5992","-0.88606","-0.88606","-0.74473","-0.79593","-0.85387"
"CE 18:2","-0.55739","-0.37172","0.53275","0.15836","-0.89259","0.34635","-0.7562","0.07918","0.12385","0.66558","0.56585","-0.78726","0.2014","0.49969","-0.44162","0.03342","-0.45168","0.60314","0.04139","0.40654","0.35411","0.65321","-0.87965","-0.08619","0.48855","-0.22185","-0.74949","-0.72077","0.07555","-0.74914","-0.67597","0.36922","0.34044","-0.78215","-0.3098","0.66558","0.49136","0.51455","0.37658","-0.34399","-0.41104","0.17609"
"Cer 40:1;O2","-0.13077","-0.31876","0.1271","-0.30103","-0.39794","-0.08092","-0.23657","0.04922","-0.17393","0.21748","-0.27572","-0.25181","-0.25181","-0.37675","-0.13857","0.08636","-0.09691","0.13033","-0.23657","0.02119","-0.47234","0.06446","-0.18046","-0.31876","-0.24413","-0.18046","0.1959","-0.81995","-0.33724","-0.25181","-0.3279","-0.19382","-0.20761","-0.11351","-0.22915","-0.33724","-0.25964","-0.0655","-0.30103","-0.3098","-0.94275","-0.35655"
"Cer 41:1;O2","-0.3279","-0.48473","0.01284","-0.42022","-0.97838","-0.19382","-0.39385","-0.03621","-0.35655","0.16732","-0.33724","-0.42022","-0.30103","-0.52288","-0.58041","-0.11351","-0.35655","0.07918","-0.3098","-0.10791","-0.45741","0.0086","-0.39794","-0.42022","-0.30103","-0.35655","0.12385","-0.48958","-0.37675","-0.38722","-0.50864","-0.35655","-0.37675","-0.22915","-0.42022","-0.36653","-0.3279","-0.16749","-0.46852","-0.37675","-0.53294","-0.40841"
"Cer 42:2;O2","0.17026","0.00432","0.20952","-0.4437","0.07188","-0.29243","0.02531","-0.25964","0.16732","0.16137","0.10721","0","-0.04576","0.07188","-0.12543","-0.19382","-0.22915","0.11727","0.0569","0.23805","-0.23657","-0.33724","-0.01323","-0.48149","-0.04096","-0.05552","-0.22185","-0.24413","-0.01323","0.07918","-0.30103","0.07918","0.04532","-0.31876","0.12057","-0.02687","-0.40894","-0.24413","0.15836","-0.05552","-0.09151","0.0086"
"LPC 13:0","-0.49525","-0.74917","1.30363","1.09167","-0.48555","1.14922","-0.46719","-1.03609","-0.59641","1.031","-0.52967","1.19838","-1.02938","1.09726","-0.20913","-0.6096","1.14489","-0.59419","0.93802","1.03019","-0.52141","-0.92372","0.98945","0.89873","-0.31454","0.99078","1.23045","1.02857","1.12969","-0.80103","0.99826","-0.68503","-0.6366","-0.48674","-0.56802","1.08672","1.7721","-0.77769","1.09237","-0.47297","-0.37411","1.16047"
"LPC 14:0","1.31597","1.48273","1.44358","0.94841","-0.96437","1.2938","1.07188","1.49499","1.29292","-0.47705","1.18949","1.22763","1.20194","0.91328","-0.68654","1.33325","1.25431","1.08565","1.37383","1.19811","-0.51317","1.25479","1.14706","1.22037","1.43569","1.45545","1.07773","1.01912","1.34967","1.30341","1.1271","1.13066","-0.64934","1.16137","1.10346","1.28623","1.04179","1.44295","1.14457","-0.53529","-0.74214","1.23654"
"LPC 15:0","-0.72326","-0.42379","-0.77291","0.99476","-1.16337","1.24674","-0.50561","1.16167","0.98588","1.03463","-0.51822","1.12937","-0.68464","-0.80599","-0.31778","1.34947","1.18241","-0.66538","1.07882","-0.92385","-0.41991","0.98632","1.27439","-0.84846","1.08849","0.87737","0.99078","-0.50924","0.89098","1.09552","-0.70292","1.11193","-0.6516","1.21165","0.99957","-0.54822","-0.64972","1.11926","-0.73335","-0.44095","-0.40293","-0.94397"
"LPC 16:0","3.38426","3.15422","3.303","3.16952","3.25706","3.23593","3.36574","3.48374","3.38007","3.3401","3.41743","3.34677","3.28927","2.98842","3.22643","3.55222","3.42337","3.25649","3.31636","3.39767","3.0898","3.35824","3.46632","3.19525","3.45889","3.26328","3.22335","2.96107","3.40412","3.41427","3.26349","3.36296","3.37957","3.47329","3.46165","3.26366","3.26448","3.36789","3.36033","3.14702","3.10959","3.33524"
"LPC 16:1","1.88252","1.84597","1.57043","1.67578","1.39252","1.71341","1.49914","1.98096","1.61679","1.55376","1.67688","1.65157","1.77393","1.3298","1.68895","1.81171","1.6994","1.37218","1.70603","1.57623","1.49304","1.74958","1.92701","1.65225","1.68975","1.54543","1.72016","-0.46378","1.56514","1.63225","1.57229","1.74531","1.8273","1.74523","1.89509","1.31175","1.52634","1.719","1.51957","-0.37257","1.28375","1.63124"
"LPC 17:0","1.36996","-0.66254","-0.7816","1.41263","-1.21652","1.43791","1.00518","1.32654","1.25164","1.38382","1.41597","1.3822","-0.36998","-0.87578","1.35774","1.57148","1.51362","1.24699","1.46687","1.12743","-0.44327","1.25139","1.5012","0.9652","1.19507","1.27207","1.28398","-1.13243","1.26998","1.41664","1.14706","1.29447","1.30557","1.54444","1.51055","1.25431","1.07298","1.33325","0.98408","1.2408","-1.07881","1.03902"
"LPC 18:0","2.95436","2.71508","2.97588","2.80895","2.86448","2.85723","2.91217","3.00691","2.92045","2.92552","2.92743","2.93763","2.88718","2.58838","2.8593","2.98734","2.98429","2.89188","2.96793","2.87161","2.64825","2.95783","2.87539","2.79419","2.97053","2.74925","2.91431","2.62236","2.98168","3.00603","2.87829","2.84846","3.00831","2.98904","3.01578","2.74486","2.79602","2.88772","2.82388","2.70422","2.66567","2.74921"
"LPC 18:1","2.86388","2.65415","2.71503","2.63228","2.7126","2.60002","2.78993","2.82065","2.72848","2.76985","2.68086","2.66069","2.70077","2.34457","2.78995","2.80503","2.73183","2.61677","2.69905","2.67064","2.47452","2.65238","2.88281","2.6558","2.79405","2.69299","2.72304","2.21479","2.61551","2.63705","2.7819","2.71378","2.76202","2.75872","2.80994","2.52052","2.76109","2.67698","2.70372","2.3838","2.69123","2.7895"
"LPC 18:2","2.71637","2.56801","2.75781","2.53763","2.62133","2.51631","2.79837","2.95871","2.71466","2.61766","2.77677","2.63065","2.83547","2.54711","2.50732","2.78342","2.78219","2.56767","2.66664","2.92343","2.20909","2.46713","2.82718","2.51783","2.58417","2.66155","2.71487","1.95732","2.67283","2.39936","2.81894","2.66642","2.42076","2.61506","2.77506","2.82683","2.76133","2.60957","2.58855","1.63599","2.84875","2.75765"
"LPC 18:3","2.1944","2.02674","2.00108","1.95641","2.07857","1.83985","2.09674","2.17479","2.05273","2.17333","2.05629","1.97635","2.06692","1.83632","2.03282","2.12827","2.09764","1.91041","2.01937","1.97451","1.84036","2.13056","2.10728","1.93389","2.1931","1.99034","2.05751","1.83206","2.04755","2.03411","1.99704","2.14557","2.05434","2.10336","2.09412","1.92552","1.85546","2.01937","2.04879","2.05892","1.89515","2.06206"
"LPC 20:3","2.0271","1.84186","1.90988","1.77735","1.32305","1.86788","1.83916","2.16411","1.88902","2.02015","1.93212","2.05801","1.95071","1.50826","1.61119","2.17114","2.01803","1.73608","1.8223","1.83778","1.61627","1.91466","2.07671","1.80468","1.8875","1.93561","1.922","1.52943","1.91089","1.80889","2.01339","1.87955","1.78283","2.02674","2.07284","1.77056","1.93927","1.95842","1.6696","1.49734","1.70621","1.79239"
"LPC 20:4","2.33084","2.01745","2.15011","2.07041","2.0561","2.1322","2.3138","2.36434","2.14457","2.18099","2.20333","2.17289","2.178","1.93561","2.17426","2.33177","2.21112","2.01511","2.15073","2.21762","1.85242","2.02127","2.27305","1.87743","2.02796","2.17745","2.16687","1.8236","2.23047","2.28526","2.18775","2.15918","2.21349","2.19767","2.33642","2.22745","2.42065","2.31042","2.18418","2.0003","2.07566","2.14977"
"LPC 20:5","-0.56538","-0.62868","-0.86788","0.80956","-0.30969","-0.49684","-0.51034","1.3298","-0.61137","1.01242","-0.64032","0.85854","-0.42084","-0.76122","-0.12445","-0.86518","-0.44315","-0.6247","1.04922","1.21299","-0.67614","-1.17175","1.05805","-0.7082","-0.82489","0.98588","-0.46859","-0.43324","1.07408","-0.74958","1.07225","-0.60527","-0.65499","-0.69292","0.99388","0.9058","1.02119","0.99344","0.91593","-0.42641","-0.55346","-0.86182"
"LPC 22:5","-1.04515","-0.40493","1.0835","0.82217","-1.06304","1.09517","1.20167","1.15442","0.89982","0.99255","1.30835","1.01115","1","0.83948","-0.32236","1.08099","-0.55947","0.8537","0.75051","0.97772","-0.57234","0.92788","1.05077","-0.71935","-0.39792","0.96614","0.91593","0.9987","1.04571","0.95904","0.77085","-0.88368","-0.48247","1.12872","1.20898","0.98318","1.40243","1.2408","1.17926","1.08636","-0.80955","1.00604"
"LPC 22:6","1.38739","1.35411","1.43152","1.58838","1.4833","1.66039","1.37767","1.65992","1.60498","1.61521","1.66829","1.49568","1.33062","1.2003","1.44623","1.55437","1.43823","1.31408","1.47871","1.69408","1.10585","1.44669","1.78689","1.03383","1.38987","1.49164","1.43489","1.32325","1.71483","1.54962","1.56289","1.29688","1.26647","1.46255","1.72689","1.42635","1.8757","1.5783","1.41731","1.43088","1.30514","1.48785"
"LPC O-16:0","-0.53504","-0.32646","1.31785","1.06221","-0.72534","1.0141","1.16435","1.13577","1.28103","1.26007","1.39463","1.19089","1.23502","0.92221","-0.46313","1.2971","1.14082","1.10483","1.15412","1.06633","-0.64975","1.20683","1.37254","1.0983","1.59195","1.02325","-0.49466","1.16879","1.31827","1.43329","1.32634","1.0306","1.40993","1.23426","1.30146","1.11261","1.16732","1.40329","1.08243","1.15927","-0.69309","1.32284"
"PC 30:0","0.47712","0.74429","0.35603","-0.04576","-0.2912","0.38202","-0.02228","0.63246","0.45788","0.82413","0.01284","0.27646","0.17026","-0.09691","0.19866","0.16732","0.4133","0.37475","0.60314","0.233","-0.08619","0.17319","0.36173","0.44404","0.33041","0.54407","0.41996","0.47276","-0.18046","0.03743","-0.01323","0.04922","-0.00436","0.33646","-0.13668","0.34044","-0.07572","0.39794","-0.19382","0.66181","-0.1549","0.1038"
"PC 32:0","1.19117","1.24378","1.12352","0.95424","0.97451","1.10278","1.00561","1.28914","1.22298","1.42374","1.10585","1.15045","1.21112","0.83759","1.10243","1.21458","1.24204","1.29358","1.18184","1.22298","0.79934","1.07151","1.38148","1.14051","1.22608","1.08314","1.27439","0.88649","0.91645","1.08849","0.943","1.01199","1.14737","1.18639","1.02036","1.01494","1.03543","1.19535","0.93095","1.37566","0.95182","1.077"
"PC 32:1","1.53288","1.61878","1.12385","1.08279","0.89542","1.37162","0.97128","1.5876","1.23729","1.70234","1.031","1.2418","1.25527","0.79518","1.34242","1.13799","1.29535","1.11294","1.28171","1.08422","0.96988","1.28443","1.46045","1.3681","1.1959","1.18752","1.57008","1.00475","0.6464","0.91908","0.8109","1.27738","1.29994","1.36977","1.10483","0.79309","0.86213","1.24304","0.91487","1.58138","0.81889","0.96473"
"PC 32:2","0.08991","0.43775","0.29447","-0.26761","-0.3184","-0.05552","-0.10237","0.38561","0.09691","0.39794","-0.05552","-0.06048","0.16435","-0.22185","-0.85602","-0.11919","0.0086","-0.01323","0.18184","0.26482","-0.59241","-0.01323","0.17898","0.0086","0.02938","0.14301","0.12057","-0.31876","-0.08619","-0.22915","-0.16749","0.02119","-0.19382","0.09691","-0.11919","0.09691","-0.21467","-0.09151","-0.14267","0.18469","-0.47833","0.0607"
"PC 34:1","2.63198","2.59111","2.38803","2.40581","2.32775","2.46818","2.40729","2.69454","2.57976","2.66556","2.39787","2.56759","2.50398","2.18472","2.48369","2.57945","2.57686","2.55335","2.52055","2.55778","2.23106","2.49689","2.73006","2.48827","2.5297","2.52679","2.73009","2.02812","2.15192","2.39841","2.25071","2.4777","2.57985","2.50444","2.40998","2.29112","2.24976","2.49118","2.37372","2.67638","2.29975","2.2663"
"PC 34:2","2.5519","2.53108","2.62682","2.45254","2.47719","2.29319","2.59478","2.69958","2.67627","2.74154","2.55025","2.56634","2.72139","2.38906","2.14866","2.65772","2.58392","2.65157","2.61102","2.85066","1.94591","2.48639","2.78476","2.54384","2.49969","2.56083","2.6666","1.84924","2.4364","2.35409","2.43167","2.59047","2.37269","2.50629","2.37096","2.56858","2.3571","2.47703","2.46395","2.42169","2.57488","2.44133"
"PC 34:3","1.0141","1.01662","0.90902","0.8014","0.5955","0.85187","0.74741","1.19312","0.88705","1.1807","0.82347","0.83696","0.98632","0.51587","0.77887","0.87157","0.90849","0.75128","1.08529","1.10924","0.54283","0.8055","1.17377","0.86094","0.77012","0.81291","1.10857","0.35603","0.62737","0.64933","0.64444","1.04805","0.79449","0.96848","0.90309","0.66652","0.57287","0.84572","0.63548","0.80618","0.58433","0.67117"
"PC 34:4","-0.12494","-0.16749","-0.21467","-0.37675","-0.47491","-0.18709","-0.40035","0.14922","-0.18046","-0.18709","-0.63464","-0.26761","-0.16749","-1.45656","-0.49258","-0.59949","-0.69487","-0.284","-0.01323","-0.18046","-0.4816","-0.22185","-0.03621","-0.95329","-0.38114","-0.02687","-0.00436","-0.31876","-0.22185","-0.22185","-0.83584","-0.21467","-0.52231","-0.50699","-0.72339","-0.04096","-0.60887","0.07188","-1.14695","0.11059","-0.43412","-0.79055"
"PC 36:1","1.96133","1.7402","1.67952","1.83181","1.53769","1.81598","1.69496","1.95482","1.82308","1.98263","1.56455","1.935","1.67034","1.37967","1.88992","1.88064","1.90493","1.9136","1.94532","1.70303","1.57978","1.79567","2.23782","1.91819","1.8589","1.69636","2.17333","1.3092","1.36192","1.6653","1.54605","1.76492","2.02894","1.94245","1.77757","1.45469","1.43152","1.88767","1.49624","1.71248","1.02857","1.27784"
"PC 36:2","2.32284","2.25144","2.3578","2.27265","2.17319","2.16059","2.31288","2.42656","2.37048","2.43323","2.23877","2.3229","2.3748","2.05675","2.15051","2.34665","2.40707","2.37363","2.41063","2.5266","1.90714","2.26043","2.5251","2.32296","2.27926","2.33335","2.47813","1.78979","2.21357","2.24983","2.16188","2.33965","2.21595","2.30209","2.22727","2.26935","2.15272","2.29815","2.18224","2.0596","2.21392","2.14842"
"PC 36:3","2.13884","2.08268","1.97174","1.92993","1.6861","1.90504","1.9752","2.21139","2.1087","2.20895","2.0202","2.14","2.0952","1.82575","1.79007","2.26783","2.1599","2.06524","2.05427","2.13915","1.75335","2.06416","2.2929","1.95221","2.02706","2.06187","2.11657","1.53301","1.87616","2.00043","1.86658","2.01557","2.01507","2.0535","2.03084","1.95631","1.80291","2.01957","1.92314","2.29059","1.85473","1.89851"
"PC 36:4","2.24672","2.08332","1.97968","2.03451","1.8857","2.03286","2.15561","2.36665","2.17967","2.157","2.10779","2.19089","2.17508","1.90309","1.91903","2.26005","2.11889","2.09499","2.17269","2.30068","1.77379","2.08117","2.34571","1.88762","2.02276","2.10164","2.23689","1.68574","2.06465","2.26588","1.95134","2.16328","2.22917","2.08001","2.06472","2.1717","2.04661","2.23287","2.01334","2.53953","1.92117","1.84466"
