feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
"PC 32:1;O/32:0;P"	6.76	8.37	5.23	8.89	6.36	7.37	4.4	10.32	6.56	3.36	24.23	5.28	4.72	6.33	7.54	5.64	10.13	9.17	7.64	5.75	0.0	1.92	0.8	1.22	1.29	0.86	1.12	0.44	1.13	0.37	1.2	1.15	0.0	1.04	1.49	1.12	2.42	1.59	1.12	0.99
"PC 34:0;P/34:1;O"	11.86	20.47	10.05	12.83	16.1	14.22	12.45	25.29	18.11	8.11	108.62	11.78	9.43	12.23	31.53	11.02	20.93	18.15	16.14	14.11	1.29	4.99	2.25	3.08	3.45	1.58	2.67	1.66	2.45	1.27	3.78	2.17	1.69	4.13	3.32	2.43	5.59	3.52	3.42	2.63
"PC 34:1;P/34:2;O"	18.25	23.07	17.81	17.65	32.99	22.4	18.22	27.38	23.12	12.67	69.15	19.9	19.3	32.08	40.86	18.58	32.13	21.09	27.41	20.04	0.89	2.99	2.1	2.43	2.96	1.6	0.86	1.23	2.4	1.14	2.4	1.3	0.99	1.89	3.1	2.37	4.48	2.7	3.3	2.75
"PC 36:1;P/36:2;O"	5.18	7.08	5.66	5.9	10.41	7.33	5.41	11.37	7.83	3.32	43.33	6.32	5.25	8.18	14.06	6.15	11.32	7.47	8.02	7.1	0.0	1.31	0.82	0.95	1.24	0.0	0.71	0.53	1.03	0.51	1.02	0.68	0.0	0.92	1.23	0.83	1.92	1.09	1.26	1.11
"PC 36:2;P/36:3;O"	16.81	21.21	18.49	14.65	25.92	18.47	14.19	19.52	19.2	13.01	46.18	15.51	18.04	29.52	30.14	17.66	26.19	20.27	29.87	18.58	1.78	4.03	2.08	2.73	3.1	1.95	1.63	1.55	3.18	1.43	2.2	2.61	1.04	2.09	3.43	2.18	5.32	2.6	3.49	3.32
"PE 36:3;P/36:4;O"	50.59	54.47	55.79	44.96	53.42	50.38	35.91	42.61	51.97	46.14	97.5	40.03	45.81	78.55	48.07	52.1	63.52	64.44	88.78	44.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	0.0
"PC 38:2;P/38:3;O"	3.79	6.28	4.95	4.94	5.89	5.13	4.01	6.8	4.87	3.32	10.42	4.42	3.3	6.88	7.94	5.01	6.81	6.48	7.02	5.14	0.0	1.21	0.0	0.79	0.77	0.0	0.52	0.54	1.0	0.54	0.6	0.91	0.0	0.64	1.33	0.0	1.86	0.65	0.87	1.22
"PC 38:3;P/38:4;O"	21.9	29.78	27.51	24.62	27.77	27.1	21.9	26.33	24.61	25.13	54.49	21.84	22.34	36.84	28.28	26.2	31.6	37.79	36.36	28.28	3.44	6.11	2.7	4.43	4.31	3.73	3.03	3.3	5.97	3.22	3.93	5.91	2.3	4.48	8.45	4.28	9.21	4.21	5.3	6.95
"PC 38:4;P/38:5;O"	32.75	27.86	34.04	30.05	35.68	33.26	25.79	20.76	27.16	28.2	55.42	24.65	31.76	38.82	22.84	35.37	40.72	52.08	39.05	27.24	5.62	5.34	3.74	5.25	4.99	5.7	3.65	5.03	7.7	4.04	5.68	7.4	2.48	5.44	9.82	6.11	10.87	5.29	8.72	8.95
"PC 40:3;P/40:4;O"	2.22	4.11	2.87	3.64	3.93	3.48	2.92	4.16	2.84	2.65	7.15	3.36	1.64	3.46	4.46	3.17	4.38	5.11	4.27	3.17	0.0	0.79	0.0	0.53	0.0	0.0	0.4	0.45	0.84	0.44	0.0	0.8	0.0	0.63	1.22	0.0	1.14	0.61	0.64	0.87
"PC 42:3;P/42:4;O"	1.14	2.27	0.0	2.04	2.31	1.67	1.22	2.26	1.16	1.15	2.61	1.66	0.0	0.0	3.09	1.18	2.69	2.84	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.43
"PE 38:4;P/38:5;O"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	0.0	7.45	0.0	0.0	0.0
"SM 32:1;O2"	5.4	11.31	3.92	6.5	6.23	7.6	4.39	6.97	3.87	4.11	6.29	4.65	4.32	8.93	12.9	3.23	7.12	8.8	8.63	3.48	0.0	2.27	2.75	3.4	4.22	3.55	2.34	2.2	2.79	1.47	2.18	2.23	1.21	2.84	2.98	1.98	4.19	1.89	3.31	4.45
"SM 33:1;O2"	3.62	4.72	2.61	4.45	3.48	4.05	2.12	4.08	2.56	2.41	5.02	2.29	2.28	4.99	7.57	2.37	4.05	5.15	4.38	1.43	0.0	1.09	1.53	2.11	2.32	1.53	1.18	1.35	1.08	0.83	1.32	1.32	0.0	1.98	1.73	1.13	2.78	1.54	1.89	2.25
"SM 34:1;O2"	113.3	216.53	113.4	155.12	126.62	182.1	106.63	146.98	127.8	117.29	235.92	137.02	103.9	142.08	204.72	117.16	153.02	198.78	177.78	98.22	51.63	93.43	87.2	114.6	82.62	84.32	56.98	64.38	84.51	46.92	72.98	79.67	45.79	101.68	107.75	86.15	147.96	77.49	85.73	94.96
"SM 34:2;O2"	16.08	24.17	12.0	15.78	16.32	15.03	9.42	16.62	11.77	10.72	19.75	12.88	11.28	18.63	18.87	9.97	15.52	22.36	21.3	9.26	3.73	6.24	8.38	10.32	8.49	6.97	5.68	6.43	7.63	3.15	6.7	6.42	3.0	11.34	8.86	7.54	10.55	7.2	9.47	9.64
"SM 35:1;O2"	1.38	1.82	1.15	2.47	1.33	2.1	1.03	1.85	1.04	1.0	2.21	1.24	1.04	1.97	4.18	1.19	1.84	2.18	1.66	0.7	0.0	0.0	0.71	1.0	0.9	0.0	0.48	0.6	0.0	0.0	0.61	0.78	0.0	0.71	0.98	0.0	1.61	0.77	0.8	1.08
"SM 36:1;O2"	19.78	37.59	14.13	33.76	19.88	29.45	20.99	23.85	20.48	24.46	35.83	22.28	20.8	29.24	37.24	16.43	22.94	26.89	33.89	16.43	6.59	15.72	18.62	29.06	16.48	13.83	10.1	14.33	13.98	9.18	13.92	19.43	6.49	22.39	27.83	13.43	28.55	19.77	17.88	18.99
"SM 36:2;O2"	8.98	13.93	5.78	12.77	9.77	10.35	7.83	11.07	8.38	8.45	14.23	9.23	7.61	12.74	13.56	6.2	8.58	11.86	14.62	6.33	1.98	4.78	6.28	7.49	4.57	4.36	3.07	5.1	4.01	2.02	4.28	5.89	1.92	6.7	7.72	4.43	7.87	5.94	6.62	7.14
"SM 37:1;O2"	0.6	0.9	0.0	0.87	0.0	0.87	0.0	1.0	0.5	0.0	0.89	0.0	0.0	0.96	1.6	0.0	0.74	0.81	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0
"SM 38:1;O2"	12.46	26.58	9.59	15.89	10.19	16.58	11.33	17.58	11.96	12.26	20.33	12.39	12.32	17.62	25.36	7.51	15.14	15.01	19.95	10.04	2.74	5.99	8.29	11.89	8.3	6.21	4.57	6.9	5.76	3.95	5.64	8.27	2.48	8.18	10.85	4.62	12.56	7.32	7.56	9.55
"SM 38:2;O2"	5.06	8.18	3.91	6.58	4.44	5.87	4.77	7.46	4.19	4.98	8.05	5.17	4.31	6.68	6.05	3.49	5.04	6.71	7.69	4.08	0.0	2.09	2.88	3.07	2.58	2.35	1.64	2.73	1.77	0.99	1.95	3.01	0.82	2.9	3.81	1.76	4.0	2.75	3.28	3.68
"SM 39:1;O2"	3.58	5.8	2.09	3.14	2.54	4.53	1.82	4.59	2.42	1.47	3.95	1.85	2.26	4.72	6.9	1.18	3.51	3.54	4.0	1.69	0.0	0.0	0.96	1.38	1.21	1.1	0.7	1.08	0.0	0.51	0.56	1.4	0.0	0.99	1.53	0.0	2.69	1.03	1.26	1.8
"SM 40:1;O2"	38.27	58.17	24.28	30.49	26.78	42.04	21.66	36.7	28.83	25.95	48.27	27.85	30.2	39.17	54.69	16.24	34.69	33.83	46.59	23.07	8.39	16.23	18.69	29.6	17.69	13.58	11.8	15.47	15.83	11.03	13.0	18.19	5.03	18.01	26.45	14.29	33.43	20.73	15.41	20.57
"SM 40:2;O2"	21.47	44.84	17.08	22.24	20.86	26.2	15.29	23.62	17.87	16.19	27.67	20.08	18.97	26.1	31.82	11.64	19.55	25.26	27.48	14.89	6.29	8.99	11.26	12.77	9.8	10.3	8.3	9.32	8.82	5.59	6.93	10.7	4.07	10.22	14.44	9.37	16.41	12.05	12.19	15.32
"SM 40:3;O2"	0.92	1.29	0.0	1.15	0.96	1.85	0.92	1.42	0.74	1.19	1.6	0.0	0.86	1.2	0.0	0.78	0.0	1.49	0.76	0.54	0.0	0.0	0.73	0.98	0.93	0.89	0.53	0.65	0.0	0.0	0.55	1.14	0.0	0.84	1.16	0.0	1.25	0.98	0.88	1.13
"SM 41:1;O2"	18.97	21.93	9.65	12.61	11.24	20.26	8.64	16.43	11.66	9.45	18.17	9.48	8.52	16.86	19.74	5.96	14.37	15.53	17.55	9.13	2.95	4.72	6.29	9.25	5.7	5.76	4.51	6.16	5.45	3.61	3.43	6.78	1.36	6.17	9.36	3.83	14.74	6.39	5.58	7.65
"SM 41:2;O2"	9.78	16.21	7.41	10.74	9.37	13.42	6.18	11.34	7.49	6.18	11.98	7.21	5.95	11.52	13.0	5.11	10.74	12.6	10.71	5.98	2.56	2.9	3.77	4.15	4.33	4.51	2.98	3.68	3.1	1.94	2.29	4.0	1.1	3.54	5.15	3.07	7.75	4.11	4.59	5.9
"SM 42:1;O2"	33.28	36.5	17.95	21.8	21.55	36.22	15.77	28.51	21.75	21.71	38.58	22.58	20.48	26.61	38.27	13.47	29.15	27.37	35.34	19.44	5.72	13.58	13.53	20.5	13.04	12.3	10.76	13.79	15.67	9.9	10.2	15.12	3.53	11.15	18.5	12.2	26.82	16.75	11.03	15.61
"SM 42:2;O2"	68.64	149.64	59.25	91.1	71.67	104.67	64.42	78.14	65.52	83.48	126.67	76.22	65.76	80.67	89.65	60.12	99.9	105.01	92.82	60.49	32.44	48.95	50.12	69.2	54.63	52.01	38.74	43.58	49.71	37.72	42.3	46.29	25.62	56.83	63.83	57.85	74.74	50.6	47.47	64.72
"SM 42:3;O2"	34.44	71.8	24.65	40.89	35.26	46.68	25.79	37.63	26.7	33.41	54.52	33.14	27.63	35.07	37.39	27.43	46.64	52.72	39.23	24.35	15.61	18.04	25.21	25.12	24.83	20.69	18.46	19.26	18.7	11.07	16.96	22.46	9.5	23.19	28.04	23.15	30.05	26.57	23.57	27.97
"SM 42:4;O2"	3.27	6.64	2.37	3.58	3.12	4.67	1.92	4.0	4.54	2.56	4.21	2.6	3.48	3.34	3.99	3.7	4.5	4.62	3.14	1.54	0.0	0.84	1.5	1.44	1.72	1.53	1.36	1.26	1.02	0.71	0.91	1.71	0.0	1.15	1.8	1.22	2.73	2.09	1.51	3.75
"SM 43:1;O2"	0.51	0.0	0.0	0.0	0.0	0.67	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0
"SM 43:2;O2"	0.74	0.99	0.72	0.95	0.0	1.38	0.63	0.62	0.5	0.71	0.9	0.55	0.0	0.94	0.64	0.39	1.04	1.43	0.6	0.0	0.0	0.0	0.0	0.67	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.66	0.0	0.0	0.74
TG 46:1	0.68	0.0	1.62	0.0	1.86	1.04	3.34	0.0	0.36	0.85	0.0	1.22	0.0	0.0	2.37	0.41	5.82	1.96	0.0	2.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 46:2	0.0	0.0	0.0	0.0	0.57	0.39	1.11	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.44	0.0	2.01	0.81	0.0	0.91	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:0	2.44	0.0	1.97	0.0	2.2	1.13	3.77	0.0	0.91	0.72	0.46	1.75	0.0	0.0	6.95	0.0	3.65	2.4	0.0	7.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:1	3.1	0.0	6.36	0.0	6.61	3.9	4.88	0.0	2.09	2.58	1.05	4.24	0.0	0.0	7.33	0.0	8.45	6.03	0.0	11.43	0.0	0.0	0.2	0.61	0.49	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:2	1.18	0.0	3.82	0.0	3.93	2.72	1.93	0.0	1.23	1.3	0.45	2.8	0.0	0.0	0.0	0.0	5.04	3.72	0.0	5.73	0.0	0.0	2.35	0.99	1.6	0.0	0.62	0.0	0.0	0.77	0.89	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0
TG 48:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.45	0.0	0.0	0.59	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 49:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.48	0.0	0.67	1.26	0.15	1.13	0.0	0.08	0.49	0.62	0.5	0.7	0.39	0.0	0.35	0.87	0.82	0.74	0.22	0.68	0.25
TG 50:0	1.03	0.0	0.0	0.0	1.23	0.0	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.93	0.0	1.73	0.0	1.84	2.49	2.03	6.22	1.0	1.98	1.37	0.0	1.46	1.87	0.53	0.89	0.36	0.0	1.35	1.0	1.42	0.55	1.29
TG 50:1	7.38	0.0	17.42	0.0	7.44	4.93	10.21	0.0	6.88	0.0	3.01	9.4	3.96	0.58	0.0	0.0	12.48	14.77	0.53	44.17	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:2	0.0	0.6	8.19	0.0	1.2	3.59	0.0	0.0	1.0	0.0	2.03	3.34	1.89	0.0	0.0	0.0	4.15	4.22	0.0	13.27	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:3	0.0	0.0	6.48	0.0	2.54	5.2	2.17	0.0	3.66	0.0	0.0	0.0	1.91	5.13	0.0	0.0	0.0	4.91	0.0	6.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 50:4	0.0	0.0	0.96	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	1.67	0.0	0.0	0.0	0.48	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 51:2	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.16	22.55	21.33	37.35	34.92	6.61	18.43	13.28	21.18	10.83	27.22	9.84	8.91	4.6	10.38	26.67	10.84	17.64	7.69	10.28
TG 52:3	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.57	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 54:2	0.0	0.0	0.0	0.0	0.0	2.47	7.02	0.0	0.0	0.0	0.0	0.0	3.42	0.0	0.0	0.0	0.0	2.96	0.0	0.0	19.75	61.45	74.55	107.85	64.46	13.88	56.13	42.32	57.87	23.99	67.81	27.3	30.1	21.51	43.97	65.66	30.07	46.4	19.55	22.54
TG 54:3	2.81	1.54	18.68	0.0	7.06	10.29	20.24	0.32	17.14	15.83	0.57	0.0	8.48	23.06	9.21	0.0	0.0	10.05	14.76	23.77	7.25	37.96	20.25	23.8	27.15	8.72	28.53	16.41	32.88	14.5	71.42	21.71	11.49	11.59	9.77	51.65	7.55	24.75	11.64	19.0
TG 54:4	4.32	1.8	17.27	0.0	6.88	11.87	14.37	0.21	11.65	13.91	4.28	0.68	9.64	20.3	11.75	0.36	1.44	9.9	12.4	18.12	0.0	0.0	13.35	18.44	0.35	1.13	6.74	2.95	1.34	1.54	0.82	0.45	0.0	1.65	0.0	0.74	3.87	14.49	2.75	0.0
TG 54:5	5.33	1.24	12.75	0.66	7.28	7.7	6.15	0.63	5.07	7.1	2.48	0.49	6.01	11.97	10.24	0.65	1.67	7.52	8.95	10.19	0.0	0.0	0.0	0.74	2.12	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.38
TG 54:6	3.05	0.66	5.8	0.0	3.65	3.25	1.6	0.33	1.42	2.28	0.93	0.0	3.0	3.73	4.24	0.36	1.06	3.11	3.54	2.98	0.0	0.0	0.0	6.35	0.0	0.0	1.38	0.35	0.0	0.74	1.67	0.0	0.0	1.33	0.0	0.0	2.29	1.88	0.0	0.0
TG 56:5	1.4	0.46	0.0	0.0	2.16	0.0	0.0	0.0	1.61	4.79	0.96	0.0	2.22	2.25	0.0	0.0	0.56	1.67	3.83	2.96	0.0	0.0	4.63	13.14	14.76	0.0	10.2	0.97	0.0	0.01	0.9	0.16	1.02	0.44	1.24	2.51	0.26	7.31	0.61	1.03
TG 56:6	3.46	0.82	5.27	1.54	4.18	3.84	3.18	0.34	2.38	5.78	2.0	0.0	3.56	3.99	3.31	0.0	1.18	3.65	4.64	4.46	1.35	7.93	8.06	9.09	9.42	0.72	3.85	2.03	4.21	3.6	6.09	2.15	0.47	4.72	8.8	6.35	2.23	8.97	1.47	0.46
TG 56:7	3.73	0.7	4.37	1.91	3.77	4.9	2.33	0.62	1.59	3.02	3.2	0.0	3.18	3.55	2.72	0.0	1.09	2.8	3.23	3.0	0.92	0.0	3.54	6.35	7.3	1.37	7.43	0.58	3.44	2.54	0.45	0.74	2.31	3.15	4.74	0.57	0.78	6.68	2.31	0.44
TG 56:8	1.36	0.0	1.4	0.0	1.47	1.89	0.57	0.34	0.37	0.56	1.41	0.0	0.96	0.98	0.97	0.0	0.44	0.85	0.7	0.64	0.0	0.0	2.13	1.55	3.11	0.79	3.08	0.42	1.39	0.89	4.11	0.0	1.26	1.02	0.0	0.72	0.98	3.19	0.76	1.22
TG 58:7	0.57	0.0	0.83	0.0	0.73	0.93	0.68	0.16	0.0	0.98	0.76	0.0	0.49	0.56	0.52	0.0	0.0	0.45	0.63	0.62	1.21	2.26	4.21	3.38	3.35	2.5	5.25	2.28	2.76	0.75	6.31	1.9	2.89	2.69	1.51	1.6	1.53	3.39	1.86	2.02
TG 58:8	0.6	0.0	0.81	0.0	0.59	1.18	0.45	0.22	0.0	0.71	1.0	0.0	0.46	0.54	0.53	0.0	0.0	0.39	0.62	0.87	1.02	2.38	3.2	2.61	2.29	1.32	4.69	1.58	1.38	0.0	5.64	1.84	2.32	1.95	1.26	1.91	1.32	3.09	1.32	1.26
TG 58:9	0.0	0.0	0.0	0.0	0.45	0.66	0.0	0.14	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.72	0.0	1.34	0.49	0.0	0.0	1.72	0.56	0.0	0.58	0.0	0.0	0.58	0.97	0.0	0.45
FA 14:0	2.72	2.22	6.04	2.78	4.73	6.85	3.28	3.3	1.74	8.64	0.0	2.34	5.63	2.65	0.0	3.01	4.3	2.44	3.15	3.46	3.61	2.88	3.56	5.6	3.25	7.96	1.68	2.93	2.77	1.87	4.74	1.61	2.99	3.63	2.48	3.39	1.44	2.12	4.11	2.48
FA 16:0	74.65	70.65	186.84	44.4	105.41	160.4	95.44	60.54	54.04	215.53	51.7	77.35	150.46	83.25	47.3	75.8	67.83	48.38	77.97	119.51	53.89	65.56	122.72	161.7	62.24	149.82	38.9	76.84	92.56	39.64	108.58	59.84	65.86	127.58	78.7	109.27	44.31	68.25	102.98	44.06
FA 16:1	9.12	7.14	30.63	4.69	15.74	15.85	6.61	8.71	3.76	39.56	3.12	8.53	23.69	5.31	2.56	6.82	7.18	4.57	10.79	13.32	6.93	9.84	11.99	24.16	15.89	29.37	6.45	11.94	8.11	4.75	31.02	8.03	9.85	19.84	9.4	18.67	9.19	9.25	15.14	9.97
FA 18:0	20.64	22.4	59.48	20.32	30.57	51.29	48.12	18.07	21.77	49.4	26.75	30.29	36.52	25.65	15.05	23.97	27.48	16.07	24.6	37.17	26.59	28.48	37.99	44.22	22.71	65.77	15.87	23.94	35.07	17.25	33.68	23.45	23.25	49.76	34.47	31.88	35.6	26.23	36.68	18.79
FA 18:1	108.78	72.27	458.7	52.1	148.98	271.29	191.56	88.02	98.92	565.91	60.26	109.97	235.82	136.49	31.27	88.78	84.01	65.37	130.92	235.67	66.04	127.61	309.93	415.15	129.61	343.06	79.31	135.12	139.11	75.45	374.19	146.72	124.64	486.19	224.77	228.06	78.17	111.36	204.44	91.0
FA 18:2	55.75	34.58	151.3	28.07	58.58	123.4	71.71	29.36	32.17	166.35	30.87	52.97	108.16	55.79	24.57	41.85	50.74	29.63	40.07	75.16	21.92	43.1	101.73	122.71	52.59	115.28	30.77	53.05	66.15	26.23	108.01	54.13	49.29	114.45	73.53	83.98	20.77	67.91	89.14	32.75
FA 18:3	2.7	0.0	10.77	0.0	4.37	6.4	2.16	1.79	0.0	6.25	0.0	2.88	10.5	0.0	0.0	2.39	3.22	0.0	0.0	2.7	0.0	0.0	3.02	3.75	2.29	4.83	0.0	1.77	0.0	0.0	3.12	1.1	0.0	2.98	0.0	0.0	0.0	2.41	2.77	0.0
FA 20:3	0.0	3.42	3.87	0.0	2.82	2.2	2.25	1.54	0.0	3.81	0.0	2.54	4.98	0.0	0.0	0.0	2.31	0.0	2.85	2.38	0.0	0.0	2.45	3.38	0.0	3.19	0.0	0.0	0.0	0.0	3.54	1.33	0.0	3.55	2.59	0.0	0.0	0.0	1.68	0.0
FA 20:4	7.73	21.32	14.25	13.63	14.59	8.89	12.7	6.27	6.99	15.29	7.53	14.34	17.21	6.93	8.25	6.62	21.34	11.36	11.33	10.11	0.0	0.0	0.0	1.85	1.11	2.29	0.0	0.0	0.0	0.0	1.74	0.99	0.0	1.94	1.52	0.0	0.0	0.0	0.0	0.0
PI 34:1	0.0	12.55	4.47	0.0	4.4	0.0	0.0	7.47	4.19	0.0	3.0	0.0	0.0	5.78	4.72	0.0	4.95	0.0	7.31	0.0	0.0	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 34:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09	2.39	0.0	0.0	0.0	0.0	3.62	3.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 36:2	0.0	9.41	8.67	0.0	5.16	6.93	0.0	6.37	9.06	0.0	8.58	6.66	6.29	9.31	9.9	3.79	6.58	4.3	8.76	6.18	0.0	5.86	3.77	5.29	5.12	0.0	5.38	3.23	7.5	0.0	0.0	2.8	0.0	1.99	0.0	11.87	2.45	3.77	4.45	3.99
PI 36:4	0.0	7.48	8.36	0.0	7.43	3.88	0.0	10.51	2.78	0.0	3.2	5.5	0.0	7.02	6.63	0.0	4.99	0.0	7.34	5.44	0.0	0.0	0.0	0.0	4.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:3	0.0	7.7	6.31	0.0	0.0	0.0	0.0	4.03	5.55	0.0	3.98	0.0	0.0	6.36	16.84	0.0	4.07	0.0	11.84	5.66	0.0	1.31	0.0	0.15	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PI 38:4	24.21	48.29	41.24	27.64	31.8	39.56	17.98	28.11	29.37	27.29	44.73	30.23	26.86	45.63	53.99	21.73	26.25	41.14	74.7	29.18	8.92	24.29	23.56	32.19	28.51	7.51	21.82	12.29	23.66	10.19	31.66	16.2	6.55	11.82	12.44	34.1	10.31	14.92	21.23	17.72